rep,researcher,region,site,microsite_number,microsite,lat ,long,date,temperature,humidity
83,mz,Carrizo,Carrizo_3,1,open,35.16221,-119.67395,05/11/2022,16.76,24.02
84,mz,Carrizo,Carrizo_3,1,open,35.16256,-119.67392,05/11/2022,18.4,22.27
85,mz,Carrizo,Carrizo_3,2,open,35.16247,-119.67448,05/11/2022,14.16,25.44
86,mz,Carrizo,Carrizo_3,2,open,35.1627,-119.67415,05/11/2022,15.38,28.72
87,mz,Carrizo,Carrizo_3,1,high,35.16297,-119.67397,05/11/2022,16.49,22.87
88,mz,Carrizo,Carrizo_3,1,high,35.16303,-119.67406,05/11/2022,17.3,22.01
89,mz,Carrizo,Carrizo_3,1,high,35.16304,-119.67407,05/11/2022,17.46,21.69
90,mz,Carrizo,Carrizo_3,1,high,35.16312,-119.67412,05/11/2022,17.72,21.05
91,mz,Carrizo,Carrizo_3,1,high,35.16315,-119.67398,05/11/2022,17.25,22.76
92,mz,Carrizo,Carrizo_3,1,high,35.16313,-119.67397,05/11/2022,16.74,23.26
93,mz,Carrizo,Carrizo_3,1,high,35.16315,-119.67391,05/11/2022,14.74,25.66
94,mz,Carrizo,Carrizo_3,1,high,35.16313,-119.67377,05/11/2022,15.6,25.74
95,mz,Carrizo,Carrizo_3,1,high,35.1631,-119.67376,05/11/2022,17.24,23.38
96,mz,Carrizo,Carrizo_3,1,high,35.16309,-119.67374,05/11/2022,18.03,22.68
97,mz,Carrizo,Carrizo_3,2,high,35.16299,-119.67388,05/11/2022,15.82,24.03
98,mz,Carrizo,Carrizo_3,2,high,35.16285,-119.67444,05/11/2022,16.45,24.63
99,mz,Carrizo,Carrizo_3,2,high,35.16288,-119.67448,05/11/2022,15.49,26.28
100,mz,Carrizo,Carrizo_3,2,high,35.16291,-119.67451,05/11/2022,17.36,24.6
101,mz,Carrizo,Carrizo_3,2,high,35.16292,-119.67452,05/11/2022,17.74,23.46
102,mz,Carrizo,Carrizo_3,2,high,35.16293,-119.67468,05/11/2022,17.73,23.59
103,mz,Carrizo,Carrizo_3,2,high,35.1629,-119.67468,05/11/2022,18.91,22.18
104,mz,Carrizo,Carrizo_3,2,high,35.16283,-119.67464,05/11/2022,17.55,21.64
105,mz,Carrizo,Carrizo_3,2,high,35.16283,-119.67462,05/11/2022,16.89,23.06
106,mz,Carrizo,Carrizo_3,2,high,35.16278,-119.67467,05/11/2022,17.06,24.74
107,mz,Carrizo,Carrizo_3,2,high,35.16271,-119.6747,05/11/2022,16.4,25.43
108,mz,Carrizo,Carrizo_3,2,high,35.16269,-119.67458,05/11/2022,15.32,26.42
109,mz,Carrizo,Carrizo_3,2,high,35.16273,-119.67458,05/11/2022,15.31,26.7
242,mz,Carrizo,Carrizo_3,1,open,35.16221,-119.67395,05/17/2022,25.62,18.88
243,mz,Carrizo,Carrizo_3,1,open,35.16256,-119.67392,05/17/2022,24.61,19.2
244,mz,Carrizo,Carrizo_3,2,open,35.16247,-119.67448,05/17/2022,27.87,16.88
245,mz,Carrizo,Carrizo_3,2,open,35.1627,-119.67415,05/17/2022,30.5,13.54
246,mz,Carrizo,Carrizo_3,1,high,35.16297,-119.67397,05/17/2022,24.85,19.61
247,mz,Carrizo,Carrizo_3,1,high,35.16303,-119.67406,05/17/2022,24.53,20.6
248,mz,Carrizo,Carrizo_3,1,high,35.16304,-119.67407,05/17/2022,24.95,20.05
249,mz,Carrizo,Carrizo_3,1,high,35.16312,-119.67412,05/17/2022,23.95,20.58
250,mz,Carrizo,Carrizo_3,1,high,35.16315,-119.67398,05/17/2022,23.43,20.33
251,mz,Carrizo,Carrizo_3,1,high,35.16313,-119.67397,05/17/2022,23.67,20.82
252,mz,Carrizo,Carrizo_3,1,high,35.16315,-119.67391,05/17/2022,23.04,21.87
253,mz,Carrizo,Carrizo_3,1,high,35.16313,-119.67377,05/17/2022,24.18,20.34
254,mz,Carrizo,Carrizo_3,1,high,35.1631,-119.67376,05/17/2022,24.55,20.28
255,mz,Carrizo,Carrizo_3,1,high,35.16309,-119.67374,05/17/2022,25.04,19.49
